participant_ID,participant_age,participant_gender,participant_start_time,prolific_ID,participant_end_time,complete_study,Include data
49513,32,2,1752259294281,6748b0b89e795db6405d3f49,,,
92957,23,2,1752259370735,60ccf8132d00b57fbb70fa5c,,,
27017,35,2,1752259423264,682f2c569acdb8d4c8694e13,,,
65535,32,3,1752259204266,60f657824394dac9902c821f,,,
66850,37,1,1752259514808,67e9719ef2477e3cbdb7f1af,,,
40358,33,1,1752259145665,665c050b07508f6c4f8d01e0,1752260680264,yes,1
92241,35,3,1752259147533,601373dbd735b324b32818bd,1752260726892,yes,1
46796,44,2,1752259104436,667c2175b570aa694ce2f63c,1752260829463,yes,1
53958,34,2,1752259220657,5c4f5967aac8be0001716a65,1752260774987,yes,1
54165,38,1,1752259149791,5f1dd488e539fb7332723dba,1752260907469,yes,1
31717,42,2,1752259261400,63c34086cb929e7c9b844a67,1752261236043,yes,1
39756,22,2,1752259131279,664e8ac06e80700e05c57ce6,1752261225392,yes,1
16042,29,1,1752259463691,673b7ef45c9291ade287d5d7,1752261292560,yes,1
95835,46,2,1752259294977,5657688f995911000a482d40,1752261296119,yes,1
32999,34,2,1752259345059,66dd097265650e0dec23231f,1752261217395,yes,1
82305,22,1,1752259457718,676574c91832aa9c1440ee7b,1752261326733,yes,1
24311,35,2,1752259261565,67439be8ee2236a7c078d523,1752261359726,yes,1
23564,42,1,1752259603440,608bfa04767191aa4d57bfd8,1752261388802,yes,1
88147,45,1,1752259246597,65313bdcb9fd825a8c1d4981,1752261396866,yes,1
76134,33,2,1752259184115,62e023ae6d022e4d7bfc5db1,1752261403822,yes,1
74568,33,2,1752259391120,63e6fa5a3c3e355fed075e8c,1752261453930,yes,1
88009,37,1,1752259136278,65761328646d5bb2adf235d4,1752261467947,yes,1
83220,29,2,1752259140565,62c6e98485fbef0be2797e9d,1752261511048,yes,1
10345,49,1,1752259251374,66063e30b927403afa9cc13f,1752261649504,yes,1
59741,31,1,1752259735870,663fcdd301b9747289dbc0e8,1752261719024,yes,1
65978,26,2,1752259119585,667034c14f027b0188355427,1752261730572,yes,1
98498,43,2,1752259149114,6717d0f52cc5e0a7f13b596a,1752261780623,yes,1
91115,31,2,1752259594730,5e38397719e44f0244389781,1752261911814,yes,1
40326,34,1,1752259262126,67207ddb95109f11e89dcfb8,1752262042754,yes,1
72945,31,2,1752259265642,5b8733a8dd068d0001be4a5f,1752262038925,yes,1
40570,31,2,1752259432061,5ea37537485d2e2fff8b868d,1752262040780,yes,1
21566,39,2,1752259113581,66708c3d9418ec5491c5483e,1752262159360,yes,1
71586,40,1,1752259539592,5bffc3ae4108380001f5cd63,1752262229019,yes,1
23105,21,1,1752259232717,677544aa391dd47ac7525736,1752262291130,yes,1
91981,33,1,1752259306309,5850bd1063615500014e2071,1752262414603,yes,1
44256,34,1,1752259267945,66084cde8c8b94db6ce51ac9,1752262616949,yes,1
44975,31,1,1752262620201,5efe8c25e921d23a9daec079,,,
26586,50,1,1752259296735,6761c0e69ae48f01649fcf5d,1752263037091,yes,1
83111,24,2,1752259889364,67dd5c052f3cd48bcf8af84d,1752263048273,yes,1
29239,42,2,1752259675405,63d1834e69a637cd32f16634,1752263127051,yes,1
29937,32,2,1752259500226,62911ef14fd68295d60ba83b,1752263213344,yes,1
98860,49,1,1752259271876,66ba87e335f3a1db594c2e58,1752263247792,yes,1
46509,37,2,1752260872777,5cd08e2ff59e0a0013563602,1752263283266,yes,1
41227,32,2,1752260510657,660eb104e6656602d708f33e,1752263284719,yes,1
32062,34,2,1752262220421,671b277a6d04904df5f9503b,1752263319294,yes,1
32418,37,2,1752260280684,67ee52fbbc516336cfa87256,1752263616057,yes,1
46188,41,2,1752259252271,66469f5d40d395a527be84c8,1752263892206,yes,1
65180,40,2,1752259496929,67926cc8eeb2400a96639477,1752264072304,yes,1
81053,32,2,1752259783142,677743bf62e157794cf97ff4,1752264104668,yes,1
95066,19,1,1752259715064,67e45fa56b0d253fde489a5c,1752264279467,yes,1
12178,33,1,1752259858135,65654bb65a81489784483bf0,1752264277434,yes,1
77117,49,2,1752259958028,67ef2daa61fea4816e6e8793,1752264321456,yes,1
63092,29,2,1752260357864,67168533669fab32329e1191,1752264416520,yes,1
11492,47,2,1752262127249,5edeea354d54cb1a825aa8f9,1752266549468,yes,1
38957,32,2,1752264711971,67d43f5c7253c147df75e9e5,1752268279340,yes,1
61444,28,2,1752268360766,67ba079d0b40d4569474bca3,1752270066417,yes,1
